station_closing_date,zone_id,location_name_arabic,location_name_english,station_opening_date,station_location_latitude,line_name,station_location_longitude,load_timestamp,location_id
"null","6"," الخور ","Creek Metro Station","2009-09-09","25.218948","Green Metro line","55.338952","2026-03-23 15:25:26","179"
"null","2"," نور بنك","Noor Bank Metro Station","2009-09-09","25.155727","Red Metro line","55.228508","2026-03-23 15:25:26","146"
"null","5"," صلاح الدين","Salah Al Din Metro Station","2009-09-09","25.270345","Green Metro line","55.320668","2026-03-23 15:25:26","168"
"null","2"," نخيل","Nakheel Metro Station","2009-09-09","25.088916","Red Metro line","55.158026","2026-03-23 15:25:26","152"
"null","5"," الراشدية","Rashidiya Metro Station","2009-09-09","25.230222","Red Metro line","55.391198","2026-03-23 15:25:26","128"
"null","5"," طيران الإمارات","Emirates Metro Station","2009-09-09","25.241059","Red Metro line","55.365726","2026-03-23 15:25:26","129"
"null","5","سوق الذهب","Gold Souq Metro Station","2009-09-09","25.276195","Green Metro line","55.301777","2026-03-23 15:25:26","171"
"null","6"," المركز التجاري العالمي","World Trade Centre Metro Station","2009-09-09","25.224828","Red Metro line","55.28506","2026-03-23 15:25:26","139"
"null","5"," ديرة سيتي سنتر","Deira City Centre Metro Station","2009-09-09","25.254303","Red Metro line","55.330077","2026-03-23 15:25:26","133"
"null","2","الحدائق","The Gardens Metro Station","2021-01-01","25.043438","Red Metro line","55.13505","2026-03-23 15:25:26","181"
